Office	DCName	TestHost	ServerName	DateTime	Description	Latency	SmallFileBytesRead	SmallFileReadTime	SmallFileMbps	SmallFileAverageMS	SmallFileMSStdDev	SmallFileMSVariance	MediumFileBytesRead	MediumFileReadTime	MediumFileMbps	MediumFileAverageMS	MediumFileMSStdDev	MediumFileMSVariance	LargeFileBytesRead	LargeFileReadTime	LargeFileMbps	LargeFileAverageMS	LargeFileMSStdDev	LargeFileMSVariance
ORL	DDC	51285L	DDCFS1	20230801-1622	Post SDWAN conversion	54.92	376840	7579.0728	0.397768972	378.95364	27.90760323	7.364384529	96469000	55505.1845	13.90414259	2775.259225	526.5193263	18.97189717	771751935	288568.4822	21.3953216	36193.0166	347.5339075	0.960223657
ORL	SE4	51285L	SE4FS1	20230801-1637	Post SDWAN conversion	92.08	376840	12491.0529	0.241350351	624.552645	44.77278	7.16877598	96469000	138798.1168	5.560248351	6939.90584	762.5298166	10.98761041	308700774	358163.6831	6.895188732	34074.55712	1170.653311	3.435564274
PHX	CDC	47705L	CDCFS1	20230510-0802	Post SDWAN conversion	46.6	376840	6619.7567	0.455412508	330.987835	22.12381133	6.684176574	96469000	128500.0731	6.005848724	6425.003655	683.3626757	10.6359889	771751935	942924.7271	6.547728893	11445.31912	523.4265495	4.573280518
PHX	DDC	47705L	DDCFS1	20230510-0820	Post SDWAN conversion	36.04	376840	5233.6868	0.576022241	261.68434	19.47757864	7.443157906	96469000	99362.2656	7.76705317	4968.11328	419.8069448	8.450027628	308700774	291909.2676	8.460184263	11178.88196	474.1295478	4.241296665
PHX	LAS04	47705L	LAS04FS1	20230510-0756	Post SDWAN conversion	23.36	376840	3746.5068	0.804674904	187.32534	14.13437649	7.545362784	96469000	38539.876	20.02476604	1926.9938	224.3970896	11.64493054	771751935	264677.8051	23.32653272	53439.9447	3661.467848	6.851556208
PLV	AT4	47722L	AT4FS1	20230801-1627	Post SDWAN conversion	29.52	376840	4125.9638	0.730670492	206.29819	15.77744748	7.647884588	96469000	33576.6334	22.98479394	1678.83167	255.9111936	15.24340994	771751935	127092.5408	48.57889724	1364.71288	243.7720577	17.86251608
PLV	CDC	47722L	CDCFS1	20230801-1608	Post SDWAN conversion	13.48	376840	2069.3431	1.456848794	103.467155	7.548702755	7.295747868	96469000	14380.6846	53.66587346	719.03423	157.2225736	21.86579818	771751935	76514.7278	80.69055014	28840.8345	1028.596101	3.566457487
PLV	CH3	47722L	CH3FS1	20230801-1606	Post SDWAN conversion	16.36	376840	2179.1595	1.383432466	108.957975	9.351589519	8.582749008	96469000	14854.9755	51.95242496	742.748775	170.8053989	22.99638918	771751935	76480.0517	80.72713528	38710.97408	7160.909468	18.49839648
PLV	DA11	47722L	DA11FS1	20230801-1624	Post SDWAN conversion	35.32	376840	4897.0044	0.61562534	244.85022	17.82300959	7.279147878	96469000	19204.0342	40.1869728	960.20171	310.2635329	32.31232872	771751935	126804.7912	48.68913407	49403.9414	427.8914053	0.866107831
PLV	DDC	47722L	DDCFS1	20230801-1610	Post SDWAN conversion	37.56	376840	4898.6077	0.615423848	244.930385	17.82422723	7.277262572	96469000	33037.6215	23.35979302	1651.881075	603.8021714	36.55239959	771751935	85451.8248	72.25141762	80444.30442	28863.11888	35.87963012
