"PWPath"	"AttribName"	"TypeName"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_title3"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_title4"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_asset"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_client_doc_no"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_client_doc_rev"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_client_doc_title"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_contract_org_path"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_date"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_deliverable"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_discipline"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_description"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_no"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_originator"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_owner"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_owner_co"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_status"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_title"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_type"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_doc_url"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_package"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_rev"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_sheetno"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_vendor_doc_no"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_vendor_doc_rev"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"power360_vendor_doc_title"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"project_nbr"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"received_via_email"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"report_type1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"report_type2"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"revision"	"String"
